Variable,Original_Skewness,Transformed
sale_price,7.833,TRUE
total_livable_area,3.876,TRUE
age2,2.678,TRUE
dist_transit_ft,2.342,TRUE
number_of_bathrooms,1.817,TRUE
dist_to_hospital_ft,1.817,TRUE
per_cap_incomeE,1.742,TRUE
dist_to_park_ft,1.475,TRUE
hospitals_15min_walk,1.458,TRUE
dist_to_nearest_school_ft,1.364,TRUE
PCTPOVERTY,0.939,FALSE
number_of_bedrooms,0.884,FALSE
park_within_15min_walk,0.872,FALSE
median_incomeE,0.842,FALSE
PCBACHMORE,0.763,FALSE
crime_count_15min_walk,0.68,FALSE
transit_15min_walk,0.598,FALSE
total_popE,0.569,FALSE
age,-0.546,FALSE
x_coord,0.538,FALSE
schools_within_15min_walk,0.488,FALSE
y_coord,0.217,FALSE
category_code,0,FALSE
