Model,term,estimate,abs_estimate
M1: Structural,number_of_bathrooms,1.0580258339527604,1.0580258339527604
M1: Structural,total_livable_area,1.0556816623603962,1.0556816623603962
M1: Structural,number_of_bedrooms,-0.26217101277696975,0.26217101277696975
M1: Structural,age2,-0.06853785727250034,0.06853785727250034
M1: Structural,age,0.0012860701626789463,0.0012860701626789463
M2: +Census,number_of_bathrooms,0.6588288436648679,0.6588288436648679
M2: +Census,total_livable_area,0.5583958291081884,0.5583958291081884
M2: +Census,per_cap_incomeE,0.5414229516240551,0.5414229516240551
M2: +Census,age2,-0.044139992221436886,0.044139992221436886
M2: +Census,number_of_bedrooms,-0.0096775906876493609,0.0096775906876493609
M2: +Census,PCTPOVERTY,-0.0049517298246219985,0.0049517298246219985
M2: +Census,age,2.1815629533770037e-4,2.1815629533770037e-4
M2: +Census,median_incomeE,1.6218008125769614e-6,1.6218008125769614e-6
M3: +Spatial,number_of_bathrooms,0.6535070818141089,0.6535070818141089
M3: +Spatial,per_cap_incomeE,0.584167307037751,0.584167307037751
M3: +Spatial,total_livable_area,0.5665089859855897,0.5665089859855897
M3: +Spatial,age2,-0.06886470618075907,0.06886470618075907
M3: +Spatial,number_of_bedrooms,-0.005677082079081106,0.005677082079081106
M3: +Spatial,PCTPOVERTY,-0.0019532773975210974,0.0019532773975210974
M3: +Spatial,age,0.001774702786940138,0.001774702786940138
M3: +Spatial,dist_to_center,5.626554983021784e-6,5.626554983021784e-6
M3: +Spatial,x_coord,2.4264678386250218e-6,2.4264678386250218e-6
M3: +Spatial,y_coord,-1.7658811595337661e-6,1.7658811595337661e-6
M4: +Interact+FE,census_tract7,0.8798516739729166,0.8798516739729166
M4: +Interact+FE,census_tract180,0.7241018035251565,0.7241018035251565
M4: +Interact+FE,zip_code19103,0.6354076037867569,0.6354076037867569
M4: +Interact+FE,zip_code19106,0.6347160036980406,0.6347160036980406
M4: +Interact+FE,census_tract179,0.6128981558437426,0.6128981558437426
M4: +Interact+FE,census_tract197,0.5974385190148666,0.5974385190148666
M4: +Interact+FE,number_of_bathrooms,0.5768332061780168,0.5768332061780168
M4: +Interact+FE,census_tract14,0.5449804130849791,0.5449804130849791
M4: +Interact+FE,census_tract379,0.5436474537844902,0.5436474537844902
M4: +Interact+FE,census_tract13,0.5430306282453677,0.5430306282453677
