term,estimate,std.error,statistic,p.value,sig
number_of_bathrooms,0.5768332061780168,0.015420413860330256,37.40711574946425,1.1423538584289518e-297,***
per_cap_incomeE,0.3677391262773959,0.02568374169638003,14.317973238658858,2.6283323793188165e-46,***
total_livable_area,0.481999680305696,0.03811930070949404,12.644504787194288,1.571284611679775e-36,***
zip_code19103,0.6354076037867569,0.05479463482377568,11.59616458491389,5.218698536813375e-31,***
age2,-0.047751219829360335,0.004555385321467485,-10.48236679438077,1.1835640146512077e-25,***
census_tract7,0.8798516739729166,0.08800281830387012,9.997994279397108,1.7297297467770964e-23,***
census_tract13,0.5430306282453677,0.06822185325937828,7.959775384300612,1.799725973355871e-15,***
census_tract14,0.5449804130849791,0.0686469531967947,7.938887127628931,2.129287330771615e-15,***
census_tract12,0.5425216723177798,0.06882481757869544,7.882645990270174,3.341483648428774e-15,***
zip_code19106,0.6347160036980406,0.08568217593128603,7.407795107900383,1.3267395458533331e-13,***
zip_code19147,0.49363371311662035,0.06677792953098124,7.3921685889886986,1.4920213809565774e-13,***
census_tract180,0.7241018035251565,0.09921961311218676,7.297970439638994,3.0126603726686575e-13,***
zip_code19130,0.49781713917196513,0.0726902595802525,6.848471061275523,7.645434722038239e-12,***
zip_code19107,0.4981525062606015,0.07363082538012423,6.765542878120063,1.3588051686404223e-11,***
zip_code19148,0.44251466502027004,0.07327442774933293,6.03914187544506,1.5722495933509046e-9,***
census_tract11,0.3917165691731299,0.06661353922311712,5.880434724555083,4.14636258906037e-9,***
census_tract379,0.5436474537844902,0.10237726608352517,5.310236096175413,1.1046205743354474e-7,***
census_tract179,0.6128981558437426,0.11555523890242501,5.303940882864468,1.1433749222886003e-7,***
zip_code19146,0.34323604064439955,0.06558516256528493,5.2334404188254435,1.677892469909531e-7,***
zip_code19123,0.37828484002545254,0.07240720390066341,5.224408893684495,1.7617841158408815e-7,***
dist_to_center,8.433156215568512e-6,1.8237764000328936e-6,4.6240077541393845,3.783668953143379e-6,***
census_tract8,0.3603260293614548,0.07803050111759813,4.617758750753311,3.899277074223783e-6,***
zip_code19145,0.32935773356954684,0.07303104791705191,4.509831680679548,6.518775246851932e-6,***
census_tract207,0.4854882248237391,0.10860977382344411,4.4700233481099785,7.85707262014693e-6,***
census_tract316,0.30700657717845065,0.06941423307406273,4.422818830986501,9.7851593100856e-6,***
census_tract320,0.2999927216116057,0.06980509299505355,4.297576419429216,1.7335890576284213e-5,***
zip_code19133,-0.4420896691807492,0.1044555734266099,-4.232322457081334,2.321536761858076e-5,***
census_tract197,0.5974385190148666,0.14347775985546837,4.163979975828263,3.138445936402839e-5,***
census_tract136,0.2816526044975915,0.06811436243023873,4.134995828318206,3.561735492003994e-5,***
census_tract158,0.30904431301127466,0.07580536128864848,4.076813404193255,4.580488175120475e-5,***
number_of_bedrooms,0.027815348403007156,0.006848386188495862,4.061591685605036,4.889479974144297e-5,***
census_tract305,0.2838346243761032,0.07025103872955628,4.040290784436291,5.355195962673554e-5,***
zip_code19104,0.3206858729722601,0.08110042294019659,3.954182498021418,7.701816883421412e-5,***
census_tract19,0.28249649910636804,0.07215783254111721,3.914980386161058,9.066255725096427e-5,***
census_tract390,0.2894640973549263,0.0742639541194501,3.897773836407052,9.73460824849595e-5,***
census_tract314,0.2660916593724966,0.07062016186571822,3.7679276334492218,1.650039224576914e-4,***
census_tract137,0.2804514050761736,0.077816787080959,3.6039962018015173,3.1399875324403763e-4,***
zip_code19118,0.40073950704272854,0.1120211759047846,3.5773549403136764,3.477750814258349e-4,***
census_tract315,0.24987269773659057,0.07091262797309988,3.5236699707614516,4.26409401814632e-4,***
zip_code19125,0.29937063621930676,0.0859958330922344,3.4812225831711903,5.000220483145968e-4,***
census_tract191,0.28673526892928575,0.08345372381312176,3.4358594898817594,5.916819513634721e-4,***
census_tract161,0.28558400773461134,0.08489638040151654,3.363912647205273,7.696668395864237e-4,***
census_tract198,0.4361306653917642,0.13032565430114812,3.3464682585362784,8.197427761688176e-4,***
zip_code19122,0.2819637370585303,0.08526589657188417,3.306875883499545,9.448190112589939e-4,***
census_tract210,0.21514632102981235,0.06863621501767263,3.1345889480417286,0.0017230352823910755,**
census_tract188,0.36901692911247264,0.11779689830280429,3.132654037832911,0.0017344286061953679,**
census_tract160,0.24250693991617586,0.07815836175095064,3.1027638563985924,0.0019194624398377533,**
census_tract195,0.36431387014290717,0.11987742071678356,3.039053292643133,0.002375794920461478,**
census_tract344,0.2225015825981638,0.07327136201192071,3.036678676205916,0.0023945820989740713,**
census_tract348,0.20388316612812254,0.06838530904713838,2.9813883854437906,0.002872339358020098,**
